0	Basic Latin
95	Latin-1 Supplement
191	Latin Extended-A
319	Latin Extended-B
527	IPA Extensions
623	Spacing Modifier Letters
703	Combining Diacritical Marks
815	Greek and Coptic
950	Cyrillic
1206	Cyrillic Supplement
1254	Armenian
1345	Hebrew
1433	Arabic
1689	Syriac
1766	Arabic Supplement
1814	Thaana
1864	NKo
1926	Samaritan
1987	Mandaic
2016	Syriac Supplement
2027	Arabic Extended-B
2070	Arabic Extended-A
2166	Devanagari
2294	Bengali
2390	Gurmukhi
2470	Gujarati
2561	Oriya
2652	Tamil
2724	Telugu
2825	Kannada
2917	Malayalam
3035	Sinhala
3126	Thai
3213	Lao
3296	Tibetan
3507	Myanmar
3667	Georgian
3755	Hangul Jamo
4011	Ethiopic
4369	Ethiopic Supplement
4395	Cherokee
4487	Unified Canadian Aboriginal Syllabics
5127	Ogham
5156	Runic
5245	Tagalog
5268	Hanunoo
5291	Buhid
5311	Tagbanwa
5329	Khmer
5443	Mongolian
5601	Unified Canadian Aboriginal Syllabics Extended
5671	Limbu
5739	Tai Le
5774	New Tai Lue
5857	Khmer Symbols
5889	Buginese
5919	Tai Tham
6046	Combining Diacritical Marks Extended
6104	Balinese
6231	Sundanese
6295	Batak
6351	Lepcha
6425	Ol Chiki
6473	Cyrillic Extended-C
6484	Georgian Extended
6530	Sundanese Supplement
6538	Vedic Extensions
6581	Phonetic Extensions
6709	Phonetic Extensions Supplement
6773	Combining Diacritical Marks Supplement
6837	Latin Extended Additional
7093	Greek Extended
7326	General Punctuation
7437	Superscripts and Subscripts
7479	Currency Symbols
7513	Combining Diacritical Marks for Symbols
7546	Letterlike Symbols
7626	Number Forms
7686	Arrows
7798	Mathematical Operators
8054	Miscellaneous Technical
8310	Control Pictures
8352	Optical Character Recognition
8363	Enclosed Alphanumerics
8523	Box Drawing
8651	Block Elements
8683	Geometric Shapes
8779	Miscellaneous Symbols
9035	Dingbats
9227	Miscellaneous Mathematical Symbols-A
9275	Supplemental Arrows-A
9291	Braille Patterns
9547	Supplemental Arrows-B
9675	Miscellaneous Mathematical Symbols-B
